TELERIDE_NUMBER,STOP_NAME,STATUS,CREATE_DT_UTC,MOD_DT_UTC,GLOBALID,POINT
7918,EB 17 AV SW @ 14 ST SW,ACTIVE,2024/09/29,2024/09/29,ab6bcbec-a66f-4e8f-bb1f-639716a56445,POINT (-114.0938893 51.0377234)
3634,WB Shaganappi Point CTrain Station,ACTIVE,2024/09/29,2024/09/29,68060caa-a583-4486-8077-74433911bdb3,POINT (-114.1242564 51.0416026)
7530,SB McCall WY @ George Craig BV NE,ACTIVE,2024/09/29,2024/09/29,1fa5dcd9-7714-418e-974d-5aa00378fe40,POINT (-114.0111985 51.0951441)
6354,EB Whitefield DR @ 36 ST NE,INACTIVE,2024/09/29,2024/09/29,70390ec7-71d2-4d45-9b1c-edd1675e774d,POINT (-113.9804454 51.0882843)
4514,WB Panatella BV @ Panora GA NW,ACTIVE,2024/09/29,2024/09/29,c938619a-b37b-4a5d-94d8-8054d2042e7c,POINT (-114.0951687 51.1682605)
3663,WB Pegasus WY @ Pegasus RD (proposed),INACTIVE,2024/09/29,2024/09/29,6560cc9e-3a5b-4fa4-a90a-f779cad3036f,POINT (-114.0077645 51.0953665)
7425,WB 20 AV NW @ 18 ST NW,ACTIVE,2024/09/29,2024/09/29,46b07b73-0923-42dc-8898-c218b26b7547,POINT (-114.1051207 51.0705996)
3998,WB 40 AV NW @ 52 ST NW,INACTIVE,2024/09/29,2024/09/29,e31bbe18-655a-4c8b-843c-a2cb6c1b313e,POINT (-114.1624689 51.0883412)
9136,WB Crestmont BV @ Cresthaven PL SW,ACTIVE,2024/09/29,2024/09/29,95126c3b-4642-4b46-a8c3-0d7b2b696fb6,POINT (-114.2639569 51.0861479)
8539,EB 17 AV SW @ 33 ST SW,ACTIVE,2024/09/29,2024/09/29,0993b32b-6a0d-4090-b3fa-a89c23b9ca84,POINT (-114.1348477 51.0377371)
8137,WB 61 AV SE @ BARLOW TR,INACTIVE,2024/09/29,2024/09/29,e90d35f8-60ce-4402-ba7f-c444c6a2fb9f,POINT (-113.9850737 50.9988852)
7707,Hamptons Bus Terminal WB,ACTIVE,2024/09/29,2024/09/29,9c87e791-9dca-4a6e-8343-f52b681c06cb,POINT (-114.1495887 51.1409882)
5914,NB Bellevue AV @ MacDonald AV SE,INACTIVE,2024/09/29,2024/09/29,4b673847-4cc9-49f2-b172-ec56aca74793,POINT (-114.0430529 51.0409266)
3872,EB Quarry Park BV @ W. of Quarry Park RD SE,INACTIVE,2024/09/29,2024/09/29,15c944cd-d32c-4858-a4f8-4a2b1c20d3a4,POINT (-114.0093216 50.9633362)
6140,WB Northmount DR @ 19 ST NW,ACTIVE,2024/09/29,2024/09/29,d5f5fd93-df92-4118-8640-84d19067be7b,POINT (-114.1095926 51.0877194)
9908,Southland LRT Station EB,INACTIVE,2024/09/29,2024/09/29,ad4c2d34-af74-4587-ac15-5daa5594bb12,POINT (-114.0774293 50.9643241)
7378,WB MacEwan DR @ MacEwan Valley GA NW,ACTIVE,2024/09/29,2024/09/29,25070fc1-1373-4c31-a93d-06bc78ab8805,POINT (-114.1133986 51.1403158)
8810,WB Bowness RD @ 70 ST NW,ACTIVE,2024/09/29,2024/09/29,bf8b3275-369f-4bb0-8cc2-d7e4f70f3737,POINT (-114.1909039 51.0890553)
6342,Chinook LRT Station WB,ACTIVE,2024/09/29,2024/09/29,020f2e70-ff17-499f-ba54-62dcf9bdfb88,POINT (-114.067063 50.997376)
3558,Tuscany Station - Rocky Ridge Terminal,INACTIVE,2024/09/29,2024/09/29,aca54d7e-1dbf-4c94-b6a2-b9507f07ec44,POINT (-114.2347326 51.1344665)
4554,SB Southport RD @ 99 AV SW,ACTIVE,2024/09/29,2024/09/29,3197874e-9857-48b8-8d7e-b391288bf412,POINT (-114.0730685 50.9606204)
4163,SB McKenzie Lake BV @ McKenzie Meadows DR SE,ACTIVE,2024/09/29,2024/09/29,60b8f271-81d5-4ca0-aae8-de703f125c7f,POINT (-113.9925238 50.8999781)
6666,NB Centre ST N @ 8 AV N,ACTIVE,2024/09/29,2024/09/29,db504fc2-5117-4f81-b61b-25f7a380b95d,POINT (-114.0623956 51.0601511)
4277,EB 78 AV SE @ 22 ST SE,INACTIVE,2024/09/29,2024/09/29,6afc0d2b-0a4d-4311-9e69-409e88aa795c,POINT (-114.0053024 50.9831609)
6318,EB Rivervalley DR @ 18 ST SE,ACTIVE,2024/09/29,2024/09/29,682e5871-4a97-4ecf-8053-1f91c64acf07,POINT (-114.0162886 50.9727291)
5930,EB Varsity DR @ 53 ST NW,ACTIVE,2024/09/29,2024/09/29,4c22d668-f5e7-405f-8ac1-9c39cc15d026,POINT (-114.1639256 51.0932426)
4883,NB 4 ST NW @ 53 AV NW,ACTIVE,2024/09/29,2024/09/29,c53ccfe3-dc0c-4e87-9a6c-1245a5df7687,POINT (-114.0713675 51.1007004)
3756,Heritage LRT Station,ACTIVE,2024/09/29,2024/09/29,cb3311a3-3e95-4874-ad7b-4d251c08271a,POINT (-114.0751598 50.9788355)
2797,Saddletowne Circle Station (NB),ACTIVE,2024/09/29,2024/09/29,a18a894f-7ad6-4a14-96cb-940b3e962b32,POINT (-113.9465531 51.1208459)
5622,SB 14 ST SW @ 6 AV SW,ACTIVE,2024/09/29,2024/09/29,2a4e3edb-6f2e-4f76-88ad-badcda6f5f24,POINT (-114.0948834 51.0462302)
4855,EB 12 AV NW @ 3 ST NW,INACTIVE,2024/09/29,2024/09/29,6a3e9319-08e7-4304-ac95-81e993377214,POINT (-114.069461 51.0633149)
6183,SB 36 ST E @ Memorial DR,INACTIVE,2024/09/29,2024/09/29,bef4d64a-5171-468a-b479-7686e97e9f1c,POINT (-113.9819619 51.0507423)
7225,EB Hawkstone DR @ Hawkmount HT NW,ACTIVE,2024/09/29,2024/09/29,8c8960b5-6f30-47c8-836c-622ceb56ddc7,POINT (-114.1747402 51.134889)
2515,EB Westwinds DR @ 47 ST NE,ACTIVE,2024/09/29,2024/09/29,c8464099-16fe-4d27-a47f-52ac336f3630,POINT (-113.9655331 51.1000366)
4379,SB Madigan DR @ Maitland DR NE,ACTIVE,2024/09/29,2024/09/29,a9fe1b22-55ef-4933-96e5-8a635fe1053b,POINT (-113.9406042 51.060919)
6159,WB Beddington BV @ Bedridge WY NE,ACTIVE,2024/09/29,2024/09/29,9a32fd8c-0134-4148-be62-a2cd78acef42,POINT (-114.0671965 51.1252775)
4940,NB Shawinigan DR @ Shannon DR SW,ACTIVE,2024/09/29,2024/09/29,20281296-0ee3-44c1-9556-44a1e20f0585,POINT (-114.0891968 50.9088169)
5038,WB 78 AV N @ Centre ST N,ACTIVE,2024/09/29,2024/09/29,58254f9d-0601-4cee-b56f-d5bd9dd7112b,POINT (-114.0720062 51.1226817)
8193,WB 54 AV SE @ 30 ST SE,INACTIVE,2024/09/29,2024/09/29,4a0e4bf9-e04b-494e-ad16-f371f02edf52,POINT (-113.9901056 51.0050508)
3633,EB Westbrook CTrain Station,ACTIVE,2024/09/29,2024/09/29,aabe622a-91c1-445c-9358-b45e685c3e94,POINT (-114.1363477 51.0404327)
7596,EB Richmond RD @ Stewart GR SW,ACTIVE,2024/09/29,2024/09/29,c01a7a55-8e65-4b33-acaa-902c29f07fc8,POINT (-114.1701097 51.0172164)
5176,SB Centre ST N @ 14 AV N,ACTIVE,2024/09/29,2024/09/29,d1604f18-2d6e-44a1-8038-5eca6f181735,POINT (-114.0626443 51.0650146)
9802,EB 9 AV @ Macleod TR SE,ACTIVE,2024/09/29,2024/09/29,886f3982-7f29-4ed3-b4fb-d87bd304e3bb,POINT (-114.0573315 51.0443545)
8285,SB Deer Ridge DR @ 137 AV SE,ACTIVE,2024/09/29,2024/09/29,324145a5-bef7-4c93-a45d-1bf57f83e59e,POINT (-114.0260246 50.9278313)
2007,STOP - 7 Water Centre east side,INACTIVE,2024/09/29,2024/09/29,33fd2e25-1f01-40de-a997-1cf571289e98,POINT (-114.0474533 51.0283847)
4461,NB 44 ST SE @ 14 AV SE,ACTIVE,2024/09/29,2024/09/29,5c4a6b9a-5344-4471-a6df-5b66af0cf171,POINT (-113.9698775 51.0412994)
8149,NB 52 ST NE @ S. of 32 AV NE,ACTIVE,2024/09/29,2024/09/29,4ad0bc74-ebb8-4c85-ad52-dea521acccfa,POINT (-113.9581966 51.0795305)
4031,EB 14 AV NW @ 22 ST NW,ACTIVE,2024/09/29,2024/09/29,989457ea-0bf4-425a-8689-b69d7ed4b940,POINT (-114.1130148 51.0651102)
9268,SB 45 ST SW @ 30 AV SW,ACTIVE,2024/09/29,2024/09/29,60b59775-cbb3-4f1e-96e8-6099b6eebbb0,POINT (-114.1525807 51.0263427)
8226,EB  Shawnessy DR @ Shawmeadows RD SW,ACTIVE,2024/09/29,2024/09/29,2a8e4b0a-6854-4d11-8ac8-d5de8d84d019,POINT (-114.0754825 50.9088067)
6673,SB 52 ST NE @ 26 AV NE,INACTIVE,2024/09/29,2024/09/29,bfce95b6-c627-4458-b4b0-49cb07fb59fc,POINT (-113.9586015 51.0757542)
4388,SB 6 ST SE @ Arlington DR,INACTIVE,2024/09/29,2024/09/29,1519faaf-de86-4bd7-91d3-9d94fabebf33,POINT (-114.0486061 50.9755567)
